descriptor,feature selection,algorithm,test_roc_auc_score,test_precision_score,test_ner_score,test_recall_score,test_f1_score
atompair_fp,none,rf,0.9002381425801702,0.917037037037037,0.9002381425801702,0.8722404884922499,0.894077997111218
atompair_fp,Boruta,svm,0.8929799002365375,0.92,0.8929799002365375,0.8534523250352278,0.885477582846004
atompair_fp,Boruta,rf,0.9001743382659952,0.9182763744427934,0.9001743382659954,0.8708313762329732,0.8939247830279653
atompair_fp,none,svm,0.8879851059061327,0.9252724442138038,0.8879851059061326,0.8374823860967591,0.8791913214990139
atompair_fp,KbestFS,rf,0.8498938300224981,0.9040570175438597,0.8498938300224981,0.7745420385157351,0.8343030609663545
atompair_fp,KbestFS,svm,0.8421464212701913,0.9178240740740741,0.8421464212701915,0.7449506810709253,0.8224008296603578
atompair_fp,SelectFromModelFS,svm,0.8924242208399737,0.9169184290030211,0.8924242208399737,0.85533114138093,0.8850546780072903
atompair_fp,SelectFromModelFS,rf,0.9012635260631594,0.9201388888888888,0.9012635260631594,0.8713010803193988,0.8950542822677926
atompair_fp,SelectFromModelFS,dnn,0.8921174384614412,0.8796125461254612,0.8921174384614412,0.8957256928135274,0.8875959972073539
atompair_fp,Boruta,dnn,0.8916708082622172,0.8871119473189087,0.8916708082622173,0.8858619069985909,0.8864864864864865
atompair_fp,none,dnn,0.8917576864635937,0.8938814531548758,0.8917576864635937,0.878346641615782,0.8860459606728264
atompair_fp,KbestFS,dnn,0.8542709464246409,0.9068119891008174,0.854270946424641,0.7815875998121183,0.839556004036327
ecfp8,none,rf,0.8784661242229869,0.9420529801324503,0.8784661242229869,0.8017848755284172,0.8662775945191575
ecfp8,Boruta,svm,0.8728251607296886,0.9154780771262546,0.8728251607296886,0.8139971817754814,0.8617603182496271
ecfp8,Boruta,rf,0.8749433435747952,0.9415692821368948,0.8749433435747952,0.7947393142320338,0.8619460010188487
ecfp8,none,svm,0.8832002839492623,0.9118246687054027,0.8832002839492623,0.8403006106153124,0.8746027866047421
ecfp8,KbestFS,rf,0.8602743705895017,0.9309564233163554,0.8602743705895017,0.7726632221700329,0.8444558521560576
ecfp8,KbestFS,svm,0.8555773297252461,0.9301659988551803,0.8555773297252462,0.7632691404415218,0.8384932920536635
ecfp8,SelectFromModelFS,svm,0.8815359544332863,0.9166666666666666,0.8815359544332863,0.8318459370596524,0.8721989657719773
ecfp8,SelectFromModelFS,rf,0.8905481131679865,0.931070496083551,0.8905481131679865,0.8374823860967591,0.8818001978239368
ecfp8,SelectFromModelFS,dnn,0.8773918842918795,0.904786150712831,0.8773918842918795,0.8346641615782058,0.8683117517713169
ecfp8,Boruta,dnn,0.8647266276069229,0.8795240456122955,0.8647266276069229,0.833255049318929,0.8557645923781959
ecfp8,none,dnn,0.8843940064875745,0.9025360517155644,0.8843940064875746,0.8525129168623767,0.8768115942028986
ecfp8,KbestFS,dnn,0.8617604292465333,0.8857868020304569,0.8617604292465333,0.8196336308125881,0.8514271773603317
rdk,none,rf,0.8980651843332719,0.9422572178477691,0.898065184333272,0.8431188351338657,0.8899355478433317
rdk,Boruta,svm,0.8907997188597326,0.9070687098368759,0.8907997188597326,0.8619069985908877,0.8839113680154141
rdk,Boruta,rf,0.9029545410312905,0.9438085327783559,0.9029545410312905,0.8520432127759512,0.8955813379412491
rdk,none,svm,0.8831346738526108,0.9039039039039038,0.8831346738526108,0.8482855800845467,0.8752120184153137
rdk,KbestFS,rf,0.8772022771318316,0.9180672268907563,0.8772022771318315,0.8210427430718648,0.8668484998760229
rdk,KbestFS,svm,0.8649519491315089,0.9432013769363167,0.864951949131509,0.7721935180836074,0.8491735537190083
rdk,SelectFromModelFS,svm,0.8960320739070652,0.9158785465405674,0.8960320739070652,0.8642555190230155,0.889318511358144
rdk,SelectFromModelFS,rf,0.8983860116866229,0.9455890121500264,0.8983860116866229,0.8407703147017379,0.8901044256588763
rdk,SelectFromModelFS,dnn,0.9018793982089447,0.9040572792362769,0.9018793982089447,0.8896195396899953,0.896780303030303
rdk,Boruta,dnn,0.9016934026138501,0.9354177344951307,0.9016934026138501,0.8572099577266322,0.8946078431372548
rdk,none,dnn,0.9005137250503562,0.9073359073359073,0.9005137250503563,0.8830436824800376,0.895024994049036
rdk,KbestFS,dnn,0.8726523072181741,0.904639175257732,0.872652307218174,0.8243306716768436,0.8626198083067093
ecfp4,none,rf,0.8929604379142891,0.9300880372863801,0.8929604379142891,0.8435885392202912,0.8847290640394089
ecfp4,Boruta,svm,0.870412835983386,0.9163558870538092,0.870412835983386,0.8078910286519493,0.8587119321018473
ecfp4,Boruta,rf,0.873235574958131,0.9428251121076233,0.8732355749581309,0.7900422733677783,0.85969844109379
ecfp4,none,svm,0.8900313584159195,0.9081429990069514,0.8900313584159194,0.8590887740723344,0.8829350712044413
ecfp4,KbestFS,rf,0.8740039354019441,0.9414389291689905,0.8740039354019441,0.7928604978863316,0.8607853136155023
ecfp4,KbestFS,svm,0.8647578275152694,0.9312080536912751,0.8647578275152694,0.7820573038985439,0.8501404135818228
ecfp4,SelectFromModelFS,svm,0.888579709947193,0.9086826347305389,0.8885797099471929,0.85533114138093,0.8812000967819985
ecfp4,SelectFromModelFS,rf,0.8909938404759722,0.917087967644085,0.8909938404759722,0.8520432127759512,0.8833698563428294
ecfp4,SelectFromModelFS,dnn,0.8881507362877407,0.89892578125,0.8881507362877405,0.864725223109441,0.8814938951400526
ecfp4,Boruta,dnn,0.8722260422324367,0.9083810515356585,0.8722260422324367,0.8196336308125881,0.8617283950617284
ecfp4,none,dnn,0.8915893474082708,0.9056047197640118,0.8915893474082708,0.8651949271958667,0.8849387460965651
ecfp4,KbestFS,dnn,0.8809608127144744,0.9236440231700895,0.8809608127144744,0.823860967590418,0.8709036742800398
2d,none,rf,0.9043280691238909,0.9119649805447471,0.9043280691238909,0.8861058601134215,0.8988494726749761
2d,Boruta,svm,0.8826749835999007,0.8976143141153081,0.8826749835999007,0.8534971644612477,0.875
2d,Boruta,rf,0.9030667174645084,0.9089147286821705,0.9030667174645083,0.8865784499054821,0.8976076555023923
2d,none,svm,0.8908592600501669,0.9094547273636818,0.8908592600501669,0.8591682419659735,0.8835965978128797
2d,KbestFS,rf,0.900556855160632,0.9068413391557496,0.900556855160632,0.8832703213610587,0.8949006463969356
2d,KbestFS,svm,0.8802354941020308,0.9027848101265823,0.8802354941020308,0.8426275992438563,0.8716695184551455
2d,SelectFromModelFS,svm,0.8801712890275853,0.8830917874396135,0.8801712890275853,0.8638941398865785,0.8733874820831343
2d,SelectFromModelFS,rf,0.9054648528278139,0.912980068060282,0.905464852827814,0.8875236294896031,0.9000718907260964
2d,SelectFromModelFS,dnn,0.8932663942349303,0.8806870937790158,0.8932663942349303,0.8965028355387523,0.8885245901639344
2d,Boruta,dnn,0.8954600844635449,0.880129091747349,0.8954600844635449,0.9021739130434783,0.8910151691948658
2d,none,dnn,0.8990301899337768,0.8881640260950606,0.8990301899337768,0.9007561436672968,0.8944157672454247
2d,KbestFS,dnn,0.8971716805268739,0.8833873206848681,0.8971716805268739,0.9021739130434783,0.8926817862988076
