ids,mols,y
265473,CCCCC1(CC)C(=O)NC(=O)NC1=O,0
265383,CCCCOC(=O)CCC(C)=O,0
265483,CCC1(CC)C(=O)NC(=O)NC1=O,0
265471,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,0
265486,CC1(C2=CC=CC=C2)C(=O)NC(=O)NC1=O,0
265474,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,0
265479,O=C(O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0
265456,O=C1CC(C2=CC=C(O)C=C2)OC2=CC(O)=CC(O)=C12,0
265322,CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCOC)C1OCC(OCCOC)C1OCCOC,0
265262,COC1=C(O)C=CC(C2=CC(=O)C3=C(O)C=C(O)C=C3O2)=C1,0
265244,O=C1C=C(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC=C12,0
265264,O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=CC(O)=C2,0
265272,CCCCN(CCCC)CCN1C(=O)C2=CC=CC=C2S1(=O)=O,0
265370,NCCS(=O)(=O)O,0
265328,CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,0
265251,COC1=CC=C2OC(C3=CC=C(O)C=C3)=CC(=O)C2=C1,0
265355,CCCOC(C)=O,0
265271,CCN(CC)C1=NS(=O)(=O)C2=CC([N+](=O)[O-])=CC=C21,0
265285,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)O,0
265348,C=C(C)CCCC(C)CCOC(C)=O,0
265255,O=C1C=C(C2=CC=CC=C2)OC2=CC=CC=C12,0
265246,O=C1C=C(C2=CC(O)=C(O)C(O)=C2)OC2=C1C(O)=CC(O)=C2,0
265323,C=C(C)CCCC(C)CCOC(=O)CC(C)C,0
265314,COC1=CC=C2C=C3C4=CC5=C(C=C4CC[N+]3=CC2=C1OC)OCO5,0
265360,CC1=CC=C(C(C)C)CC1,0
265362,COC1=CC(C)=CC=C1O,0
265284,CC(C)C1=CC=C(C=NO)C=C1,0
265258,O=C1C=C(C2=CC=C(O)C=C2)OC2=CC(O)=CC=C12,0
265311,COC1=CC=C(C2=CC(=O)C3=C(OC)C(OC)=C(OC)C(OC)=C3O2)C=C1,0
265253,O=C1C=C(C2=CC=CC=C2)OC2=C1C(O)=CC=C2,0
265248,COC1=C(O)C=C2OC(C3=CC(O)=C(O)C=C3)=CC(=O)C2=C1O,0
265277,O=C1NS(=O)(=O)C2=CC=C([N+](=O)[O-])C=C12,0
265332,CC(=O)OC(C)C1=CC=CC=C1,0
265318,OC1=CC=C(C2COC3=CC(O)=CC=C3C2)C=C1,0
265201,O=C1C2=CC=CC=C2OC2=CC=CC=C12,0
265205,O=C1C(C2=CC=C(O)C=C2)=COC2=C(O)C(O)=CC=C12,0
265259,O=C1C=C(C2=CC=C(O)C=C2)OC2=CC=C(O)C=C12,0
265236,O=C1C(O)=C(C2=CC=C(O)C=C2O)OC2=C1C(O)=CC(O)=C2,0
265203,OC1=CC=C(C=CC2=CC(O)=CC(O)=C2)C=C1,0
265211,COC1=CC=C(C2=COC3=C(C=CC(O)=C3)C2=O)C=C1,0
265231,O=C1CC(C2=CC=C(O)C(O)=C2)OC2=CC(O)=CC(O)=C12,0
265234,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC2=C1C(O)=C(O)C(O)=C2,0
265227,O=C1CC(C2=CC=CC=C2)OC2=CC(O)=CC(O)=C12,0
265263,O=C1C=C(C2=CC=CC=C2)OC2=C1C(O)=CC(O)=C2,0
265232,O=C1C2=CC=C(O)C=C2OC(C2=CC=C(O)C=C2)=C1O,0
265281,CCCCN1C(=O)C2=C(C=C([N+](=O)[O-])C=C2)S1(=O)=O,0
265245,O=C1C=C(C2=CC=CC=C2O)OC2=C1C(O)=CC(O)=C2,0
265243,COC1=CC=C(C2=CC(=O)C3=C(OC)C=C(OC)C=C3O2)C=C1,0
265198,C/C=C(\C)C(=O)OC1CC2C(CC=C3CC(O)CCC32C)C2(O)CCC(C(C)=O)C12C,0
265292,OB(O)C=CC1=CC=C(Cl)C=C1,0
265218,O=C(C=CC1=CC=C(O)C=C1)C1=C(O)C=C(O)C=C1,0
265199,C/C=C(/C)C(=O)OC1CC2C(CC=C3CC(OC4CC(OC)C(OC5CC(OC)C(OC6OC(C)C(O)C(OC)C6O)C(C)O5)C(C)O4)CCC32C)C2(O)CCC(C(C)=O)C12C,0
265267,CC1(C)C(=O)CCC2(C)C3CCC4CC3(CCC12)CC4(O)COC1OC(CO)C(O)C(O)C1O,0
265293,CC(C)CC(NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(=O)O,0
265223,O=C(C=CC1=CC=C(O)C(O)=C1)C1=CC=C(O)C=C1O,0
265274,C=CCN1C(=O)C2=CC=C([N+](=O)[O-])C=C2S1(=O)=O,0
265280,CC(C)N1C(=O)C2=CC=C([N+](=O)[O-])C=C2S1(=O)=O,0
265254,COC1=CC(O)=C2C(=O)C=C(C3=CC=C(O)C=C3)OC2=C1,0
265247,O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(O)=C2,0
265273,CN1C(=O)C2=CC=C(S(N)(=O)=O)C=C2S1(=O)=O,0
265202,O=C1C(=CC2=CC(O)=C(O)C=C2)OC2=CC(O)=CC=C12,0
265269,CCN(CC)CCCN1S(=O)(=O)C2=CC=CC=C2S1(=O)=O,0
265186,O=C(O)C1=C(OC(=O)C2=CC=CC=C2O)C=CC=C1,0
265238,COC1=CC(C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2)=CC=C1O,0
265268,CCCCN(CCCC)CCN1S(=O)(=O)C2=CC=CC=C2S1(=O)=O,0
265215,O=C(CCC1=CC=C(O)C=C1)C1=C(O)C=C(O)C=C1O,0
265266,C=C1C(=O)C23CCC4C(C)(C)CC(OOC5OC(CO)C(O)C(O)C5O)CC4(C)C2CCC1C3,0
265200,COC1=CC=C(O)C=C1,0
265222,O=C(C=CC1=CC=CC=C1)C1=CC=CC=C1,0
265240,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC2=C1C(O)=CC(O)=C2O,0
265249,O=C1C=C(C2=CC(O)=C(O)C=C2)OC2=C1C(O)=CC(O)=C2,0
265188,CC1=CC=CN2C(=O)C(C3=NNN=N3)=CN=C12,0
265260,O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=CC=C2,0
265214,CC(=O)OCC1OC(OC2=CC(O)=C3C(=O)C(C4=CC=C(O)C=C4)=COC3=C2)C(O)C(O)C1O,0
265206,O=C1C(C2=CC=C(O)C=C2)=COC2=CC(O)=C(O)C=C12,0
265252,O=C1C=C(C2=CC=C(O)C=C2)OC2=CC=CC=C12,0
265278,O=C1C2=CC=C([N+](=O)[O-])C=C2S(=O)(=O)N1SC(Cl)(Cl)Cl,0
265256,COC1=C(OC)C=C2C(=O)C=C(C3=CC=CC=C3)OC2=C1,0
265229,COC1=CC(C2CC(=O)C3=C(C=C(O)C=C3O)O2)=CC=C1O,0
265207,O=C1C(C2=CC=CC=C2)=COC2=CC=CC=C12,0
265276,CCN(CC)CCN1C(=O)C2=CC=CC=C2S1(=O)=O,0
265225,COC1=CC(C2OC3=CC(C4OC5=CC(O)=CC(O)=C5C(=O)C4O)=CC=C3OC2CO)=CC=C1O,0
265194,O=C(O)C1=CC=C2OCOC2=C1,0
265289,CC(C)CC(NC(=O)CN)C(=O)O,0
265287,CC(C)CC(NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,0
265294,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)O,0
265265,OCC1OC(OC2=CC=CC=C2)C(O)C(O)C1O,0
265224,O=C1C2=C(O)C=C(O)C=C2OC(C2=CC=C(O)C(O)=C2)C1O,0
265299,O=S=O,0
265367,OCCC1=CC=CC=C1,0
265304,O=C1C(C2=CC=C(O)C=C2)=COC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC=C12,0
265399,CC(C)CCCC(C)CCO,0
265380,CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(C=O)OC(C)=O,0
265306,O=C(OC1CC2=C(O)C=C(O)C=C2OC1C1=CC=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1,0
265327,CCCCCCCCCCC=CC=O,0
265329,CC(C)=CCCC(C)=CCO,0
265427,CC1=CC=CC=N1,0
265319,O=C1C(C2=CC=C(O)C=C2)=COC2=CC(O)=CC=C12,0
265361,CC1=CCC(C(C)C)=CC1,0
265330,CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1,0
265407,CC(C)CCOC(=O)C1=CC=CC=C1O,0
265344,CC(=O)CCC=C(C)C,0
265379,CC12CCC(CC1=O)C2(C)C,0
265374,OCC=CC1=CC=CC=C1,0
265337,COC(CC1=CC=CC=C1)OC,0
265377,CC(C)=CCCC(C)=CC=O,0
265309,COC1=CC=C(C2=CC(=O)C3=C(OC)C(OC)=C(OC)C=C3O2)C=C1OC,0
265351,COC(=O)C1=CC=CC=C1N,0
265430,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,0
265424,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,0
265359,CC(C)C(=O)OCCC1=CC=CC=C1,0
265421,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,0
265410,CN1C2CCC1CC(OC(=O)C(CO)C1=CC=CC=C1)C2,0
265448,COC1=C(CC2OC2(C)C)C2=C(C=CC(=O)O2)C=C1,0
265413,C1CCN2CC3CC(CN4CCCCC34)C2C1,0
265440,O=C1C=CC2=C(C=C(O)C=C2)O1,0
265417,CC(=S)NC1=CC=CC=C1,0
265324,CC(C)C(C=O)C1=CC=CC=C1,0
265295,CC(C)CC(N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)O,0
265446,O=C1CC(C2=CC=C(O)C=C2)OC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C12,0
265416,C=CC1CNC(=S)O1,0
265392,CC(C)=CCCC(C)CCO,0
265432,COC1=CC=C2N=C(S(=O)CC3=C(C)C(OC)=C(C)C=N3)NC2=C1,0
265397,CCOC=O,0
265320,O=C1C(C2=CC=C(O)C=C2)=COC2=C1C(O)=CC(O)=C2,0
265450,C=C(CO)C(=O)OC1CC(=C)C2CC(O)C(=C)C2C2OC(=O)C(=C)C12,0
265305,O=C1C(C2=CC=C(O)C=C2)=COC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C12,0
265431,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0
265441,CCCCCCCCCC(=O)OCC(O)CO,0
265372,CCC(=O)OCC=C(C)CCC=C(C)C,0
265331,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,0
265449,O=C(O)C1=CC(O)=C(O)C(O)=C1,0
265335,C=C(C)CCCC(C)CCOC=O,0
265302,C=CC(O)CC(=NOS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O,0
265409,O=C(O)COCCN1CCN(C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)CC1,0
265357,O=COCCC1=CC=CC=C1,0
265445,O=C(C=CC1=CC=CC=C1)OC1CCN2CC3CC(CN4C(=O)CCCC34)C2C1,0
265298,CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)SC1(C)C,0
265312,O=C(OC1CC2=C(O)C=C(O)C=C2OC1C1=CC(O)=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1,0
265420,C=CC1CN2CCC1CC2C(O)C1=CC=NC2=CC=CC=C21,0
265313,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0
265310,COC1=CC=C(C2=CC(=O)C3=C(OC)C(OC)=C(OC)C(OC)=C3O2)C=C1OC,0
265300,C#N,0
265442,COC1=C2C(=CC(F)=C1N1CCNC(C)C1)C(=O)C(C(=O)O)=CN2C1CC1,0
265387,CCCCC(O)CC,0
265347,CCCCCCCCCO,0
265398,CC(O)CCO,0
265419,OCC1CCCN2CCCCC12,0
265415,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1CCCC1C(=O)O,0
265308,OC1=CC(O)=C2CC(O)C(C3=CC(O)=C(O)C=C3)OC2=C1,0
265307,OC1=CC(O)=C2CC(O)C(C3=CC(O)=C(O)C(O)=C3)OC2=C1,0
265342,C=CC(O)CC,0
265423,CC(=O)C1=NC=CN=C1,0
265315,O=C1CCCC2=CC=CC=C12,0
265422,CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(C(N)=O)=C1,0
265502,CC12CCC(C(S(=O)(=O)O)C1=O)C2(C)C,0
265459,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1Cl,0
265556,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,0
265597,CCC1(CC)C(=O)CCNC1=O,0
265533,C1=CC=C(CC2=NCCN2)C=C1,0
265492,CC1=CC(=O)CC(C(C)C)C1,0
265480,CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1,0
265550,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)OCCC21O,0
265455,CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C,0
265595,CC(C)=CCCC(C)=CCCC(=CCCC(C)=CCO)CO,0
265452,CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC1NCCC2=CC(OC)=C(OC)C=C21,0
265523,COC1=CC(CC2=C(N)N=C(N)N=C2)=CC(OC)=C1OC,0
265462,OC(O)C(Cl)(Cl)Cl,0
265467,CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1,0
265546,CCCCNC1=CC=C(C(=O)OCCN(C)C)C=C1,0
265489,C=CCC1(C(C)(C)CC)C(=O)NC(=O)NC1=O,0
265532,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,0
265569,NC(=O)C1=C(O)C=CC=C1,0
265528,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,0
265477,CC(=O)OC1CC2(O)C3CCC4CC(OC(=O)CCCCCCC(=O)NC(CCCN=C(N)N)C(=O)O)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC=C1,0
265463,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0
265529,CC(=O)OCC(COC(C)=O)OC(C)=O,0
265543,CC[N+](CC)(CC)CC,0
265545,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,0
265454,CN1CCCC1C1=CC=CN=C1,0
265571,OCC1=CC=CC=C1OC1OC(CO)C(O)C(O)C1O,0
265565,CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23,0
265500,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,0
265469,O=S(=O)(O)C1=CC=C(O)C=C1,0
265511,O=C(NC1=CC=CC=C1)OCC(CN1CCCCC1)OC(=O)NC1=CC=CC=C1,0
265517,CC(C)C1=C(O)C(O)=C2C(=C1)C1CC3C(C)(C)CCCC23C(=O)O1,0
265581,C1=CNN=C1,0
265507,CCC(C)(O)C(=O)OC1C(=O)OC2CC3C(C)=CC(O)C(O)C3(C)C3C4(O)OCC23C1C(C)C4O,0
265478,CC[N+](C)(C)CC1=CC=CC=C1Br,0
265553,O=C1OC(C2=CC(S(=O)(=O)O)=C(O)C=C2)(C2=CC(S(=O)(=O)O)=C(O)C=C2)C2=C(Br)C(Br)=C(Br)C(Br)=C12,0
265552,CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,0
265576,C1=CC=C2N=CN=CC2=C1,0
265590,C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,0
265577,CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=CC(Cl)=CC=C21,0
265561,[Sr+2],0
265596,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCCCN1,0
265495,CC(=O)N(C)N(C(=O)C(=O)N(C)C)C1=CC=CC=C1,0
265534,CCOC(=O)C1=C(N)SC2=C1CCN(CC1=CC=CC=C1)C2,0
265604,C1=CC=C(N(CCN2CCCCC2)CC2=NC=CC=C2)C=C1,0
265537,O=C1C=CNC(=S)N1,0
265563,O=S(=O)(O)C1=C(O)C=CC=C1,0
265594,O=S(=O)(O)C1=C(OCO)C=CC=C1,0
265482,CCC1(CC)C(=O)N=C(O)NC1=O,0
265519,C=CC1CNCCC1CCC(=O)C1=CC=NC2=CC=C(OC)C=C21,0
265676,COC1=C2OC(C)=CC(=O)C2=C(OC)C2=C1OC=C2,0
265681,CN(C)C=NC1=C(I)C(CCC(=O)O)=C(I)C=C1I,0
265722,CN1C(=O)C2=C(N=CN2CC(O)CO)N(C)C1=O,0
265700,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0
265621,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C)C1=O,0
265646,COC1=CC=C(C2=CC(=S)SS2)C=C1,0
265755,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,0
265618,CCOC1=CC=C(NC(C)=O)C=C1,0
265641,C1=CC=C2C(=C1)C=CC=C2CC1=NCCN1,0
265680,CCC(C)C(N)C(=O)O,0
265637,CCN(CC)C(=O)C1=CC=CN=C1,0
265623,OCCCCCO,0
265724,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1,0
265723,COC1=CC=C2CC3N(C)CCC4(CC(O)CCC34O)C2=C1OC,0
265678,CC(C)O,0
265608,O=C(CCC1=CC=C(O)C=C1)C1=C(OC2OC(CO)C(O)C(O)C2O)C=C(O)C=C1O,0
265707,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,0
265746,C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,0
265677,CC(COC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1,0
265744,CNCC(C)C1CCCCC1,0
265615,NC(=S)NC1=C2C=CC=CC2=CC=C1,0
265638,O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1,0
265714,CCC(=O)N(C1=CC=CC=C1)C1CCN(CCC2=CC=CC=C2)CC1,0
265679,O=C(O)C(O)C(O)C(O)C(O)C(=O)O,0
265640,COC1=CC(C)C2CC3OC(O)CC4C(C)=C(OC)C(=O)C(C2(C)C1=O)C34C,0
265698,COC1=CC=CC=C1OCC(O)CO,0
265696,C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,0
265756,CC(C(O)C1=CC=CC=C1)N(C)CC=CC1=CC=CC=C1,0
265622,CCCC(C)C1(CC)C(=O)N=C(O)NC1=O,0
265735,O=C1C2=CC=CC=C2OC(O)=C1CC1=C(O)OC2=C(C=CC=C2)C1=O,0
265659,CCCC(C)(COC(N)=O)COC(N)=O,0
265647,CCC1(CC)C(=O)NCC(C)C1=O,0
265759,CC1=CC=CC=C1C(OCCN(C)C)C1=CC=CC=C1,0
265712,COC1=C(O)C(OC2OC(CO)C(O)C(O)C2O)=C2OC(=O)C=CC2=C1,0
265760,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0
265762,C=C(C(=O)OC1CC(C)=CCCC(CO)=CC2OC(=O)C(=C)C21)C(O)CO,0
265761,C=C1C(=O)OC2C1CC=C1CC(C)(CCC1OO)C2O,0
265616,COC1=CC=C(NC(C)=O)C=C1,0
265606,CCOC(=O)C1=CC=CC=C1C(=O)OCC,0
265652,CCC(NC)C1=CC=CC=C1OC,0
265617,NC1=NC(N)=C(N=NC2=CC=CC=C2)C=C1,0
265733,O=C(O)C1=CC(I)=CC(I)=C1O,0
265624,N=C(N)C1=CC=C(OCCCCCOC2=CC=C(C(=N)N)C=C2)C=C1,0
265701,N#CCCCC#N,0
265693,CC[N+]1=C2C=C(N)C=CC2=C2C=CC(N)=CC2=C1C1=CC=CC=C1,0
265751,CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1,0
265612,CC1=CC=C(N(CC2=NCCN2)C2=CC=C(O)C=C2)C=C1,0
265650,O=C(O)C1=CC(CC2=CC=C(O)C(C(=O)O)=C2)=CC=C1O,0
265689,OCCOCCN1CCN(C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)CC1,0
265683,CCC1=CC=C(C(=O)C(C)CN2CCCC2)C=C1,0
265731,CC1=CC=C2CC3C4CCCCC4(CCN3C)C2=C1,0
265627,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,0
265736,NCC1CCC(N)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)O1,0
265732,COC1=CC=C(C2SC3=CC=CC=C3N(CCN(C)C)C(=O)C2OC(C)=O)C=C1,0
265737,CC(CN1CCOCC1)C(C(=O)N1CCCC1)(C1=CC=CC=C1)C1=CC=CC=C1,0
265747,CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,0
265610,CNCC(O)C1=CC(O)=CC=C1,0
265665,CC(O)C(=O)O,0
265800,CC(C)=CCC(=O)C1(O)C(O)=C(C(=O)CC(C)C)C(=O)C1CC=C(C)C,0
265802,CCC(C)C(=O)C1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(CC=C(C)C)=C1O,0
265791,CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1,0
265844,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,0
265648,CC1=CC(=O)NC(=S)N1,0
265835,C=C1CCC2C(=C)C(=O)OC2C=C(C)CCC1O,0
265805,COC1=CC(O)=C(CC=C(C)C)C(O)=C1C(=O)C=CC1=CC=C(O)C=C1,0
265793,COC1=CC=C2C(=CC1=O)C(NC(C)=O)CCC1=C2C(OC)=C(OC)C(OC)=C1,0
