descriptor,feature selection,algorithm,test_roc_auc_score,test_precision_score,test_ner_score,test_recall_score,test_f1_score,blend_roc_auc_score,blend_precision_score,blend_ner_score,blend_recall_score,blend_f1_score
2d,none,rf,0.9263375840603622,0.9186189889025894,0.9263375840603622,0.9349899598393574,0.92673218061948,0.876270656717584,0.9242902208201892,0.8762706567175841,0.8195804195804196,0.8687916975537435
2d,none,svm,0.8939507406027202,0.8826256710590532,0.8939507406027202,0.9078815261044176,0.8950754763672358,0.8262945853029652,0.8814390842191333,0.8262945853029652,0.7538461538461538,0.8126649076517151
2d,SelectFromModelFS,svm,0.8900398300610776,0.8866749688667497,0.8900398300610775,0.893574297188755,0.8901112639079884,0.8067087939992968,0.8829694323144105,0.8067087939992967,0.706993006993007,0.785242718446602
2d,SelectFromModelFS,rf,0.9290767146911416,0.9248943048992788,0.9290767146911416,0.9334839357429718,0.9291692692067456,0.8766168886978943,0.9290836653386454,0.8766168886978942,0.8153846153846154,0.8685288640595903
2d,KbestFS,svm,0.9015734927737892,0.8922699386503068,0.9015734927737892,0.9126506024096386,0.9023452041196178,0.8332831972496777,0.8889795918367347,0.8332831972496777,0.7615384615384615,0.8203389830508474
2d,KbestFS,rf,0.9232258605386876,0.911376953125,0.9232258605386876,0.9369979919678716,0.9240099009900988,0.87313259366332,0.911969111969112,0.8731325936633199,0.8258741258741259,0.8667889908256882
2d,Boruta,svm,0.8869445416988483,0.8757930697901415,0.8869445416988483,0.9008534136546184,0.8881464983914872,0.8088228112669453,0.8627773212818406,0.8088228112669453,0.7342657342657343,0.7933509633547413
2d,none,dnn,0.9271487922255248,0.9372750642673522,0.9271487922255248,0.9151606425702812,0.9260858521717044,0.8633160135953432,0.9482312338222606,0.8633160135953433,0.7685314685314686,0.8489764387794516
2d,Boruta,rf,0.9266984375516534,0.92284718765555,0.9266984375516534,0.9307228915662652,0.9267683079230192,0.8738191975622144,0.9293172690763052,0.8738191975622143,0.8090909090909091,0.8650467289719626
2d,SelectFromModelFS,dnn,0.9222448223925886,0.9393781029527044,0.9222448223925884,0.902359437751004,0.9204967353731917,0.8433927804039536,0.9345132743362832,0.8433927804039536,0.7384615384615385,0.8250000000000001
2d,KbestFS,dnn,0.9277629976128008,0.9412069412069412,0.9277629976128008,0.91214859437751,0.9264499681325684,0.8566741219674181,0.9450261780104712,0.8566741219674181,0.7573426573426574,0.8408385093167702
2d,Boruta,dnn,0.9246356215583212,0.937856033143449,0.9246356215583212,0.9091365461847388,0.9232730053530462,0.8486394890026174,0.93235039028621,0.8486394890026174,0.7517482517482518,0.832365466511808
ecfp4,none,rf,0.9196276553588166,0.918723510346547,0.9196276553588169,0.9203296703296704,0.9195258889582032,0.8553088133240805,0.919672131147541,0.8553088133240805,0.7786259541984732,0.8432919954904171
ecfp4,SelectFromModelFS,rf,0.9193816007419592,0.9172259507829976,0.9193816007419588,0.9215784215784216,0.919397035006852,0.8598195697432338,0.9253486464315012,0.8598195697432338,0.7827897293546149,0.8481203007518797
ecfp4,Boruta,rf,0.9095412794119584,0.9058940069341258,0.9095412794119584,0.9135864135864136,0.9097239492663516,0.8386537126995142,0.9,0.8386537126995142,0.761970853573907,0.8252536640360767
ecfp4,KbestFS,rf,0.9178926022994665,0.9132690882134916,0.9178926022994662,0.9230769230769232,0.9181468140603652,0.8615544760582927,0.9249592169657422,0.8615544760582928,0.7869535045107564,0.8503937007874015
ecfp4,none,svm,0.9249555778715192,0.9366016427104724,0.9249555778715192,0.9113386613386614,0.9237974683544304,0.8546148507980569,0.9420415224913494,0.8546148507980569,0.7557251908396947,0.8386599922988063
ecfp4,SelectFromModelFS,svm,0.9217209674185552,0.9310520939734422,0.9217209674185552,0.9105894105894106,0.9207070707070708,0.8501040943789036,0.933791917454858,0.8501040943789036,0.7536433032616239,0.8341013824884792
ecfp4,KbestFS,svm,0.9234444056316724,0.941866527632951,0.9234444056316724,0.9023476523476524,0.9216836734693876,0.8469812630117974,0.9520795660036168,0.8469812630117973,0.7307425399028452,0.8268551236749117
ecfp4,Boruta,svm,0.9080047656894212,0.9206594538897476,0.9080047656894212,0.8926073926073926,0.9064164341871672,0.821998612074948,0.9195298372513564,0.821998612074948,0.7057598889659958,0.7985865724381627
ecfp4,none,dnn,0.9214200062558678,0.953494623655914,0.921420006255868,0.8858641358641358,0.9184360435007768,0.8303261623872311,0.9594594594594594,0.8303261623872311,0.6897987508674531,0.8025837706903513
ecfp4,SelectFromModelFS,dnn,0.9226729810850676,0.9516817939135076,0.9226729810850676,0.8903596403596403,0.92,0.8351839000693962,0.9548022598870056,0.8351839000693962,0.703678001387925,0.8102277267279265
ecfp4,KbestFS,dnn,0.9211818708523508,0.9481658692185008,0.9211818708523508,0.8908591408591409,0.91861962400206,0.83587786259542,0.955743879472693,0.8358778625954199,0.7043719639139486,0.8110267678785458
ecfp4,Boruta,dnn,0.9091262815771644,0.9803519061583578,0.9091262815771644,0.8349150849150849,0.9018073914216348,0.7841776544066621,0.9823321554770318,0.7841776544066621,0.5787647467036781,0.7283842794759826
ecfp8,none,rf,0.9163941008009648,0.9130111524163568,0.9163941008009648,0.92007992007992,0.9165319069536012,0.8546148507980569,0.9188524590163936,0.8546148507980569,0.7779319916724496,0.8425403983464862
ecfp8,SelectFromModelFS,rf,0.9139039895692468,0.90972050457581,0.913903989569247,0.9185814185814186,0.9141294892506524,0.851145038167939,0.9147540983606556,0.851145038167939,0.7744621790423317,0.8387824126268321
ecfp8,KbestFS,rf,0.9125361706187372,0.9072520966946226,0.9125361706187372,0.9185814185814186,0.9128816083395384,0.8525329632199862,0.9177631578947368,0.8525329632199861,0.7744621790423317,0.8400451637184795
ecfp8,Boruta,rf,0.9065669781598656,0.896829268292683,0.9065669781598656,0.9183316683316683,0.9074531095755184,0.844205412907703,0.8993558776167472,0.844205412907703,0.7751561415683553,0.8326500186358554
ecfp8,none,svm,0.9199737715654156,0.9303635432667692,0.9199737715654156,0.9075924075924076,0.9188369152970922,0.8473282442748091,0.9355961705831156,0.8473282442748091,0.7460097154753643,0.8301158301158301
ecfp8,SelectFromModelFS,svm,0.9184816054375864,0.9275140377743748,0.9184816054375864,0.9075924075924076,0.9174450896238324,0.8445523941707147,0.9276485788113696,0.8445523941707148,0.7473976405274115,0.82782475019216
ecfp8,KbestFS,svm,0.9128653925035422,0.9253539253539254,0.9128653925035422,0.8978521478521478,0.9113956141462796,0.834142956280361,0.9333933393339334,0.8341429562803608,0.7196391394864677,0.8126959247648904
ecfp8,Boruta,svm,0.9111203084406267,0.9237702807107906,0.9111203084406267,0.8958541458541458,0.9095980727779892,0.8268563497571132,0.9235611510791368,0.8268563497571131,0.7126995142262318,0.8045436741088915
ecfp8,none,dnn,0.9157010919943028,0.9413793103448276,0.9157010919943026,0.8863636363636364,0.9130434782608696,0.8275503122831368,0.9486692015209124,0.8275503122831367,0.6925746009715475,0.8006417970316887
ecfp8,SelectFromModelFS,dnn,0.9188002683712706,0.9520086276624428,0.9188002683712706,0.8818681318681318,0.9155970439517698,0.8251214434420542,0.960668633235005,0.8251214434420542,0.678001387925052,0.7949552481692432
ecfp8,KbestFS,dnn,0.9165636030221954,0.9466916688990088,0.9165636030221954,0.8826173826173827,0.9135323768902676,0.8237335183900069,0.9507246376811594,0.823733518390007,0.6828591256072172,0.7948303715670436
ecfp8,Boruta,dnn,0.914796873109482,0.9550561797752808,0.914796873109482,0.8703796203796204,0.9107539526982884,0.8108952116585705,0.9488977955911824,0.8108952116585704,0.6571825121443442,0.7765477654776548
rdk,none,rf,0.9220435744310402,0.9027181688125894,0.9220435744310402,0.9455544455544456,0.9236399121737008,0.879944482997918,0.9046563192904656,0.8799444829979182,0.84941013185288,0.8761632068718682
rdk,SelectFromModelFS,rf,0.9180628809141615,0.8964454976303318,0.9180628809141615,0.9448051948051948,0.9199902723735408,0.8754337265787647,0.8977941176470589,0.8754337265787647,0.8473282442748091,0.8718314887540165
rdk,KbestFS,rf,0.9156992286499872,0.8927981109799291,0.9156992286499872,0.9443056943056944,0.917829833717684,0.8702290076335877,0.8891320204230488,0.8702290076335877,0.8459403192227619,0.8669985775248933
rdk,Boruta,rf,0.9185666049941106,0.8950471698113207,0.9185666049941106,0.9478021978021978,0.920669577874818,0.8743927827897294,0.8895306859205776,0.8743927827897293,0.8549618320610687,0.8719037508846427
rdk,none,svm,0.9168851541395684,0.9163963064636884,0.9168851541395684,0.9170829170829172,0.9167394832105854,0.84941013185288,0.9157720891824938,0.84941013185288,0.7696044413601666,0.8363499245852187
rdk,SelectFromModelFS,svm,0.9248708267609038,0.92018779342723,0.9248708267609038,0.93006993006993,0.9251024717426408,0.8667591950034699,0.9164696611505122,0.8667591950034699,0.8070784177654406,0.8583025830258302
rdk,KbestFS,svm,0.9144267197612136,0.9010882708585248,0.9144267197612136,0.9305694305694304,0.915591596019167,0.8591256072172103,0.8996138996138996,0.8591256072172102,0.8084663428174879,0.8516081871345028
rdk,none,dnn,0.9278044760511808,0.9470112242234404,0.9278044760511808,0.906093906093906,0.926100829610721,0.8494101318528798,0.942054433713784,0.84941013185288,0.7446217904233171,0.8317829457364341
rdk,SelectFromModelFS,dnn,0.9212336097128436,0.9259727134916624,0.9212336097128436,0.9153346653346652,0.9206229590555136,0.8480222068008327,0.9161825726141078,0.8480222068008327,0.7661346287300486,0.834467120181406
rdk,KbestFS,dnn,0.919495916915713,0.9214357429718876,0.919495916915713,0.9168331668331668,0.9191286930395594,0.8476752255378209,0.910655737704918,0.8476752255378209,0.7709923664122137,0.8350244269071777
rdk,Boruta,dnn,0.9231994069099267,0.9397715472481828,0.9231994069099267,0.904095904095904,0.9215885947046843,0.8417765440666204,0.9278887923544744,0.8417765440666204,0.7411519777931992,0.8240740740740742
rdk,Boruta,svm,0.9215234839768538,0.9102626459143968,0.9215234839768538,0.9348151848151848,0.9223755544603252,0.8671061762664817,0.9025875190258752,0.8671061762664816,0.8230395558639834,0.8609800362976406
atompair_fp,SelectFromModelFS,rf,0.9151706910349038,0.9031788400873576,0.915170691034904,0.9295704295704296,0.9161846153846156,0.8553088133240805,0.8932411674347158,0.8553088133240805,0.8070784177654406,0.8479766678818811
atompair_fp,none,rf,0.9172962078955612,0.9026036644165863,0.9172962078955612,0.935064935064935,0.9185475956820413,0.8664122137404581,0.9018264840182648,0.866412213740458,0.8223455933379598,0.8602540834845736
atompair_fp,KbestFS,rf,0.9095861549542226,0.8894961977186312,0.9095861549542226,0.9348151848151848,0.911592791037506,0.8615544760582928,0.8935045317220544,0.8615544760582928,0.8209576682859125,0.8556962025316457
atompair_fp,Boruta,rf,0.9169184148355994,0.9037019114444712,0.9169184148355995,0.9328171828171828,0.9180287575273444,0.8619014573213047,0.8983957219251337,0.8619014573213046,0.8160999306037474,0.8552727272727274
atompair_fp,none,svm,0.9176328210461512,0.917144996256551,0.9176328210461512,0.9178321678321678,0.9174884533766072,0.8514920194309508,0.913469387755102,0.8514920194309508,0.7765440666204025,0.8394598649662416
atompair_fp,SelectFromModelFS,svm,0.91788943461413,0.9144981412639404,0.91788943461413,0.9215784215784216,0.9180246299290956,0.8549618320610688,0.9082202713487628,0.8549618320610688,0.7897293546148508,0.8448403860430586
atompair_fp,KbestFS,svm,0.9122579112009602,0.9183569979716024,0.91225791120096,0.9045954045954046,0.9114242576748868,0.8358778625954199,0.915807560137457,0.8358778625954199,0.739764052741152,0.8184261036468331
atompair_fp,Boruta,svm,0.9191154841179712,0.9237181106339984,0.9191154841179712,0.9133366633366632,0.9184980534974256,0.8462873004857737,0.9130794701986756,0.8462873004857738,0.765440666204025,0.8327670819177048
atompair_fp,none,dnn,0.9225924535549008,0.9322770253002812,0.9225924535549008,0.9110889110889112,0.9215611974232664,0.8497571131158919,0.9278438030560272,0.8497571131158917,0.758501040943789,0.8346697212676594
atompair_fp,SelectFromModelFS,dnn,0.924810640739514,0.945273631840796,0.924810640739514,0.9015984015984017,0.9229195960628916,0.8421235253296323,0.938612099644128,0.8421235253296322,0.7321304649548924,0.8226120857699805
atompair_fp,KbestFS,dnn,0.9201680873217803,0.9548404542996214,0.9201680873217803,0.8818681318681318,0.9169047000779018,0.8251214434420541,0.9561830574488802,0.8251214434420542,0.6814712005551701,0.7957860615883307
atompair_fp,Boruta,dnn,0.921079697472386,0.9381336106056668,0.9210796974723858,0.9013486513486514,0.9193733282384412,0.8407356002775852,0.9337455830388692,0.840735600277585,0.7335183900069396,0.8216090167120093
,,TextCNN,0.9197620335397008,0.9150197628458498,0.9197620335397008,0.9250749250749252,0.920019870839543,0.8580846634281749,0.9069400630914828,0.8580846634281749,0.7980569049271339,0.8490217792543374
,,BiLSTM,0.9118726324559716,0.9442528735632184,0.9118726324559716,0.8845222072678331,0.9134120917303684,0.8289538903267125,0.9493041749502982,0.8289538903267126,0.6986100950987564,0.8048883270122208
,,LSTM,0.7286870439895162,0.6987704918032787,0.7286870439895161,0.917900403768506,0.7934845840605003,0.6868256491662146,0.677050222504768,0.6868256491662147,0.7790782735918069,0.7244897959183673
,,GraphConv,0.91984625670276,0.9314505776636712,0.91984625670276,0.906093906093906,0.9185972907963031,0.844205412907703,0.9261168384879724,0.844205412907703,0.7480916030534351,0.8276391554702496
,,GAT,0.9139253869731362,0.9537239868565168,0.9139253869731364,0.8698801198801199,0.9098746081504704,0.8119361554476059,0.949050949050949,0.8119361554476059,0.659264399722415,0.778050778050778
,,GCN,0.9254323766261096,0.9465128474043,0.9254323766261094,0.9015984015984017,0.9235098490662572,0.8445523941707147,0.940550133096717,0.8445523941707148,0.7356002775850105,0.8255451713395638
